council,year,TCO2e
Aberdeen City,2017,198579.67
Aberdeenshire,2017,325282.92
Angus,2017,115899.85
Argyll and Bute,2017,127000.14
City of Edinburgh,2017,507553.12
Clackmannanshire,2017,55348.62
Dumfries and Galloway,2017,220021.95
Dundee City,2017,154653.39
East Ayrshire,2017,119535.95
East Dunbartonshire,2017,130754.58
East Lothian,2017,112099.24
East Renfrewshire,2017,95975.6
Falkirk,2017,149869.8
Fife,2017,349262.91
Glasgow City,2017,680071.26
Highland,2017,321198.11
Inverclyde,2017,56720.49
Midlothian,2017,98306.32
Moray,2017,97535.97
Na h-Eileanan Siar,2017,38652.3
North Ayrshire,2017,137512.34
North Lanarkshire,2017,406736.57
Orkney Islands†,2017,29072.83
Perth and Kinross,2017,141123.72
Renfrewshire,2017,195536.05
Scottish Borders,2017,134667.13
Shetland Islands,2017,31975.2
South Ayrshire,2017,126083.62
South Lanarkshire,2017,370821.4
Stirling,2017,84605.22
West Dunbartonshire,2017,104857.75
West Lothian,2017,145934.84
Aberdeen City,2018,198518.12
Aberdeenshire,2018,308192.95
Angus,2018,112134.41
Argyll and Bute,2018,119149.28
City of Edinburgh,2018,492831.56
Clackmannanshire,2018,53570.86
Dumfries and Galloway,2018,227001.47
Dundee City,2018,148298.68
East Ayrshire,2018,118086.94
East Dunbartonshire,2018,111395.06
East Lothian,2018,110685.64
East Renfrewshire,2018,89067.54
Falkirk,2018,154954.43
Fife,2018,339866.83
Glasgow City,2018,733950.37
Highland,2018,317213.88
Inverclyde,2018,57553.87
Midlothian,2018,91869.83
Moray,2018,91661.48
Na h-Eileanan Siar,2018,37897.05
North Ayrshire,2018,141057.01
North Lanarkshire,2018,353976.81
Orkney Islands†,2018,27127.63
Perth and Kinross,2018,140239.45
Renfrewshire,2018,189505.22
Scottish Borders,2018,134139.86
Shetland Islands,2018,31049.37
South Ayrshire,2018,124771.51
South Lanarkshire,2018,361237.96
Stirling,2018,88172.71
West Dunbartonshire,2018,102739.24
West Lothian,2018,152069.47
Aberdeen City,2019,180260.08
Aberdeenshire,2019,310946.52
Angus,2019,100812.96
Argyll and Bute,2019,117899.48
City of Edinburgh,2019,471188.08
Clackmannanshire,2019,53322.71
Dumfries and Galloway,2019,209440.15
Dundee City,2019,149838.99
East Ayrshire,2019,119102.11
East Dunbartonshire,2019,110997.62
East Lothian,2019,106233.1
East Renfrewshire,2019,94537.87
Falkirk,2019,153945.99
Fife,2019,387425.15
Glasgow City,2019,744090.21
Highland,2019,297897.89
Inverclyde,2019,58005.68
Midlothian,2019,91550.51
Moray,2019,87796.44
Na h-Eileanan Siar,2019,36484.52
North Ayrshire,2019,132846.55
North Lanarkshire,2019,361416.07
Orkney Islands�,2019,26999.11
Perth and Kinross,2019,141893.36
Renfrewshire,2019,180557.26
Scottish Borders,2019,123165.52
Shetland Islands,2019,29252.97
South Ayrshire,2019,108979.57
South Lanarkshire,2019,337047.61
Stirling,2019,87065.39
West Dunbartonshire,2019,95008.19
West Lothian,2019,158981.85
